researcher,title,authors,value of cited by,year
Argheesh Bhanot,Spatially constrained online dictionary learning for source separation,"A Bhanot, C Meillier, F Heitz, L Harsan",6,2021
Argheesh Bhanot,Modélisation parcimonieuse de la dynamique spatio-temporelle de la connectivité fonctionnelle en IRMf cérébrale,"A Adam, C Meillier, S Achard, G Becq, A Bhanot, A Leborgne",3,2022
Argheesh Bhanot,Effet du filtrage sur l'évaluation de la connectivité fonctionnelle dynamique et application sur des données d'IRMs fonctionnelles de rats,"GJPC Becq, A Bhanot, C Meillier, S Achard, EL Barbier",1,2022
Argheesh Bhanot,Online dictionary learning for single-subject fMRI data unmixing,"A Bhanot, C Meillier, F Heitz, L Harsan",1,2019
Argheesh Bhanot,Apprentissage par dictionnaire pour le démélange de signaux temporels en IRMf,"A BHANOT, C MEILLIER, F HEITZ, L HARSAN",1,2019
Argheesh Bhanot,Analyse par graphes de l’expression de la connectivité en IRMf,"A Bhanot, G Becq, S Achard, EL Barbier",,2023
Argheesh Bhanot,Analyse de la connectivité fonctionnelle en IRMf : graphes ou ICA ?,"A Bhanot, G Becq, S Achard, EL Barbier",,2023
Argheesh Bhanot,Spatially constrained dictionary learning for source separation,A Bhanot,,2021
