researcher,title,authors,value of cited by,year
Alexandre Benoit,Gaze direction estimation tool based on head motion analysis or iris position estimation,"A Benoit, A Caplier, L Bonnaud",5,2005
Alexandre Benoit,Motion Estimator Inspired from Biological Model for Head Motion Interpretation–WIAMIS05,"A Benoit, A Caplier",5,2005
Alexandre Benoit,Using Deep Learning for Glacier Thickness Estimation at a Regional Scale,"LL Uroz, Y Yan, A Benoit, A Rabatel, S Giffard-Roisin, C Lin-Kwong-Chon",4,2024
Alexandre Benoit,Deep learning based automatic detection of offshore oil slicks using SAR data and contextual information,"E Amri, H Courteille, A Benoit, P Bolon, D Dubucq, G Poulain, A Credoz",4,2021
Alexandre Benoit,GammaLearn-first steps to apply Deep Learning to the Cherenkov Telescope Array data,"T Vuillaume, J Mikael, L Antiga, A Benoit, P Lambert, G Maurin, G Silvestri",4,2019
Alexandre Benoit,IRIM at TRECVid 2015: semantic indexing,"H Le Borgne, P Gosselin, D Picard, M Redi, B Mérialdo, B Mansencal, ...",4,2015
Alexandre Benoit,"A biomimetic real time retinal simulation software with non separable spatiotemporal processing, chromaticity and non linear local adaptivity","B Durette, A Benoit, BC De Lavarène, D Alleysson, J Hérault",4,2007
Alexandre Benoit,Deep unsupervised domain adaptation applied to the Cherenkov Telescope Array Large-Sized Telescope,"M Dell'Aiera, T Vuillaume, M Jacquemont, A Benoit",3,2023
Alexandre Benoit,Channel-based attention for land cover classification using Sentinel-2 time series,"H Courteille, A Benoît, N Méger, A Atto, D Ienco",3,2021
Alexandre Benoit,Semi-supervised Spectral Clustering with automatic propagation of pairwise constraints,"N Voiron, A Benoit, A Filip, P Lambert, B Ionescu",3,2015
Alexandre Benoit,Bags of Trajectory Words for video indexing,"ST Strat, A Benoit, P Lambert",3,2014
Alexandre Benoit,Automatic difference measure between movies using dissimilarity measure fusion and rank correlation coefficients,"N Voiron, A Benoit, P Lambert",3,2012
Alexandre Benoit,Extracting static hand gestures in dynamic context,"T Burger, A Benoit, A Caplier",3,2006
Alexandre Benoit,A multitask deep learning model for classification and regression of hyperspectral images: Application to the large-scale dataset,"K Chhapariya, A Benoit, KM Buddhiraju, A Kumar",2,2024
Alexandre Benoit,A deep learning-based multitasking model for hyperspectral image analysis using novel taiga dataset,"K Chhapariya, A Benoit, KM Buddhiraju, A Kumar",2,2024
Alexandre Benoit,"Deep learning for astrophysics, understanding the impact of attention on variability induced by parameter initialization","M Jacquemont, T Vuillaume, A Benoit, G Maurin, P Lambert",2,2021
Alexandre Benoit,Deep learning for semantic segmentation,"A Benoit, B Ghattas, E Amri, J Fournel, P Lambert",2,2021
Alexandre Benoit,Generative Adversarial Network (GAN) for remote sensing images unsupervised learning,"AB Hamida, A Benoit, P Lambert, CB Amar",2,2018
Alexandre Benoit,Fast Semi-numerical Algorithms for Chebyshev Series,A Benoit,2,2012
Alexandre Benoit,Enhancement of multi-valued images using PDE coupling,"S Bettahar, AB Stambouli, P Lambert, A Benoit",2,2011
Alexandre Benoit,Similarity measurement for animation movies,"A Benoit, M Ciobotaru, P Lambert, B Ionescu",2,2011
Alexandre Benoit,From bio-inspired vision toolbox to real-time computer vision algorithms,"A Benoit, A Caplier, B Durette, J Hérault",2,2007
Alexandre Benoit,Explaining the decisions and the functioning of a convolutional spatiotemporal land cover classifier with channel attention and redescription mining,"E Pelous, N Méger, A Benoit, A Atto, D Ienco, H Courteille, ...",1,2024
Alexandre Benoit,A low-cost machine learning process for gait measurement using an electrostatic sensors network,"B Pichon, E Benoit, S Perrin, A Benoit, N Berton, D Coves, J Cruvieux, ...",1,2024
Alexandre Benoit,Improving ice thickness estimation of glaciers using deep learning methods: a case study in the Swiss Alps,"L Lopez Uroz, Y Yan, A Benoit, A Rabatel, A Dehecq, S Giffard-Roisin",1,2023
Alexandre Benoit,Receipt automatic reader,"O Maslova, L Klein, D Dabernat, A Benoit, P Lambert",1,2019
Alexandre Benoit,Aluminium/copper heterogeneous welding,"A Benoit, D Schleich, P Paillard, T Baudin",1,2019
Alexandre Benoit,Deep learning for dehazing: Benchmark and analysis,"LC Valeriano, JB Thomas, A Benoit",1,2018
Alexandre Benoit,Lecture automatique d'un ticket de caisse par vision embarquee sur un telephone mobile,"R Raoui-Outach, C Million-Rousseau, A Benoit, P Lambert",1,2016
Alexandre Benoit,Analyse de trajectoires pour l'indexation sémantique des vidéos à grande échelle,"ST Strat, A Benoit, P Lambert",1,2014
Alexandre Benoit,Retina-enhanced surf descriptors for semantic concept detection in videos,"ST Strat, A Benoit, P Lambert, A Caplier",1,2012
Alexandre Benoit,Study of 6061 weld heat affected zones made with GMAW,"A Benoit, M Besse, R Louahdi, H Paul, P Paillard, T Baudin",1,2012
Alexandre Benoit,Mémoire de Fin d’Etudes,"HV LUONG, A CAPLIER, A BENOÎT",1,2006
Alexandre Benoit,Biological Approach for Head Detection and Analysis,"A Benoit, A Caplier",1,2005
Alexandre Benoit,Motion Head Nods analaysis: interpretation of non verbal communication gestures,"A Benoit, A Caplier",1,2005
Alexandre Benoit,JOINT MULTITASK LEARNING FOR IMAGE SEGMENTATION AND SALIENT OBJECT DETECTION IN HYPERSPECTRAL IMAGERY,"K Chhapariya, A Benoit, KI Anil",,2024
Alexandre Benoit,Exploring Deep Learning for Volcanic Source Inversion,"LL Uroz, Y Yan, A Benoit, F Albino, P Bouygues, S Giffard-Roisin, V Pinel",,2024
Alexandre Benoit,Deep‐learning Analysis of Cherenkov Telescope Array Images,"M JACQUEMONT, T VUILLAUME, A BENOIT, G MAURIN, P LAMBERT",,2024
Alexandre Benoit,Discovering Communities With Clustered Federated Learning,"M Bettinelli, A Benoit, K Grandjean",,2024
Alexandre Benoit,Deep Learning and IACT: Bridging the gap between Monte-Carlo simulations and LST-1 data using domain adaptation,"M Dellaiera, C Plard, T Vuillaume, A Benoit, S Caroff",,2024
Alexandre Benoit,Unsupervised Domain Adaptation for Multitask Image Analysis in Realistic Context with Extreme Label Shift; Application to the Ctao First Large Sized Telescope,"M Dell'aiera, T Vuillaume, A Benoit",,2024
Alexandre Benoit,Deep learning multimodal methods for geophysical inversion: application to glacier ice thickness estimation,"L Lopez Uroz, A Benoit, Y Yan, C Lin-Kwong-Chon, S Giffard-Roisin, ...",,2023
Alexandre Benoit,A Path Towards Fair and Equitable AI Advancing Bias Mitigation in Federated Learning,"F Lynda, A Benoit, F Loukil, M Bettinelli, C Lin-Kwong-Chon",,2023
Alexandre Benoit,Improving ice thickness estimation of glaciers using deep learning methods: a case study in the Swiss Alps,"LL Uroz, Y Yan, A Benoit, A Rabatel, A Dehecq, S Giffard-Roisin",,2023
Alexandre Benoit,Bias mitigation for collaborative and ethical learning on dynamic data,"L Ferraguig, A Benoit, F Loukil, M Bettinelli",,2023
Alexandre Benoit,"L’Université Grenoble Alpes a adopté son schéma directeur de la science ouverte, présenté et voté à l’unanimité au CA du 13 octobre 2022.","K Jacq, W Rapuc, A Benoit, D Coquin, B Fanget",,2022
Alexandre Benoit,Machine learning and deep learning for retro-observation of critical zone processes with hyperspectral imaging,"K Jacq, K Humbert, J Auboiron, T Gardes, B Fanget, A Benoit, D Coquin, ...",,2021
Alexandre Benoit,Content-based multimedia indexing (CBMI 2018)[SI 1104],"R Péteri, G Quénot, P Joly",,2021
Alexandre Benoit,"Analyse automatique d'images, de l'expert à l'apprenti",A Benoit,,2019
Alexandre Benoit,Internet of Things,"D Coquin, R Boukezzoula, A Benoit, TL Nguyen",,2019
Alexandre Benoit,Hilbert Based Video To Timed-Image Filling and Learning To Recognize Visual Violence,"AM ATTO, A Benoît, P Lambert",,2018
Alexandre Benoit,Method for welding and for hard surface deposition of metal parts made of aluminium by a MIG method with pulsed current and filler wire,"JB Mottin, JF Castagne, T Baudin, AYM Benoit, P Paillard",,2017
Alexandre Benoit,Could Multimedia approaches help Remote Sensing Analysis?,"AB Hamida, A Benoit, P Lambert, C Ben-Amar",,2015
Alexandre Benoit,Clustering Spectral semi-supervisé avec propagation des contraintes par paires,"N Voiron, A Benoit, A Filip, P Lambert, B Ionescu",,2015
Alexandre Benoit,IRIM-Indexation et Recherche d'Information Multimedia GDR-ISIS,"N Ballas, B Labbé, A Shabou, H Le Borgne, P Gosselin, M Redi, ...",,2012
Alexandre Benoit,Algorithmique semi-numérique rapide des séries de Tchebychev| Theses. fr,A Benoit,,2012
Alexandre Benoit,Emotion Classification or face identification depend on which part of the face is analyzed,"A Benoit, N Guyader, A Caplier, J Hérault",,2007
Alexandre Benoit,"Emotion classification and face identification, a bio-inspired model","A Benoit, N Guyader, A Caplier, J Herault",,2007
Alexandre Benoit,"Real-time bio-inspired retina simulation software with non-linear, adaptive and chromatic spatio-temporal processing","B Durette, A Benoit, D Alleysson, J Hérault",,2006
Alexandre Benoit,Real-time bio-inspired retina simulation software.,"A Benoit, B Durette, BC de Lavarène, D Alleysson, J Hérault",,2006
Alexandre Benoit,Résumé-vulgarisation,A BENOIT,,2005
Alexandre Benoit,Multimodal Focus Attention in an Augmented Driver Simulator,"A Benoit, L Bonnaud, A Caplier, P Ngo, L Lawson, D Trevisan, V Levacic, ...",,2005
Alexandre Benoit,Aanund Jupskaas Nordskog,"AM Obeso, A Chatziagapi, AF Smeaton, A Messina, AA Ramírez, ...",,
Alexandre Benoit,Hilbert Based Video To Timed-Image Filling and Learning To Recognize Visual Violence,"A Abdourrahmane Mahamane, A BENOIT, P LAMBERT",,
Alexandre Benoit,DEEP LEARNING APPROACH FOR REMOTE SENSING IMAGE ANALYSIS,A Benoit,,
Alexandre Benoit,GAZE DIRECTION ESTIMATION TOOL BASED ON HEAD MOTION ANALYSIS OR IRIS POSITION ESTIMATION (SunPmPO1),"A Benoit, A Caplier, L Bonnaud",,
Alexandre Benoit,IRIM@ TRECVID2012,A Benoit,,
Alexandre Benoit,"Damak M., 377","Z Abdulkader, J Abdul-Jabbar, O Abou Khaled, K Ait Saadi, M Akhloufi, ...",,
Alexandre Benoit,Interprétation des mouvements de tête Impliqués dans le processus de communication non verbale Interpretation of Head Motions involved in Non Verbal Communication,"A Benoit, A Caplier",,
Alexandre Benoit,Sign Language Tutoring Tool,"O Aran¹, I Ari¹, A Benoit, AH Carrillo, FX Fanard, P Campr, L Akarun¹, ...",,
