researcher,title,authors,value of cited by,year
Alexandre Benoit,3-D deep learning approach for remote sensing image classification,"AB Hamida, A Benoit, P Lambert, CB Amar",702,2018
Alexandre Benoit,Quality assessment of stereoscopic images,"A Benoit, P Le Callet, P Campisi, R Cousseau",449,2009
Alexandre Benoit,Using human visual system modeling for bio-inspired low level image processing,"A Benoit, A Caplier, B Durette, J Hérault",143,2010
Alexandre Benoit,Using disparity for quality assessment of stereoscopic images,"A Benoit, P Le Callet, P Campisi, R Cousseau",115,2008
Alexandre Benoit,Signtutor: An interactive system for sign language tutoring,"O Aran, I Ari, L Akarun, B Sankur, A Benoit, A Caplier, P Campr, ...",104,2009
Alexandre Benoit,Privacy and security in federated learning: A survey,"R Gosselin, L Vieu, F Loukil, A Benoit",84,2022
Alexandre Benoit,Multimodal focus attention and stress detection and feedback in an augmented driver simulator,"A Benoit, L Bonnaud, A Caplier, P Ngo, L Lawson, DG Trevisan, ...",54,2009
Alexandre Benoit,Sign language tutoring tool,"O Aran, C Keskin, L Akarun",52,2005
Alexandre Benoit,Spatio-temporal tone mapping operator based on a retina model,"A Benoit, D Alleysson, J Herault, P Le Callet",51,2009
Alexandre Benoit,Hypovigilence analysis: open or closed eye or mouth? Blinking or yawning frequency?,"A Benoit, A Caplier",46,2005
Alexandre Benoit,Quality assessment of stereoscopic images. EURASIP J,"A Benoit, P Le Callet, P Campisi, R Cousseau",44,2008
Alexandre Benoit,PDE-based enhancement of color images in RGB space,"S Bettahar, AB Stambouli, P Lambert, A Benoit",35,2011
Alexandre Benoit,Hierarchical late fusion for concept detection in videos,"ST Strat, A Benoit, P Lambert, H Bredin, G Quénot",32,2014
Alexandre Benoit,Multimodal signal processing and interaction for a driving simulator: Component-based architecture,"A Benoit, L Bonnaud, A Caplier, F Jourde, L Nigay, M Serrano, ...",32,2007
Alexandre Benoit,Irim at TRECVID 2014: Semantic indexing and instance search,"N Ballas, B Labbé, H Le Borgne, P Gosselin, D Picard, M Redi, ...",30,2014
Alexandre Benoit,Deep learning for semantic segmentation of remote sensing images with rich spectral content,"AB Hamida, A Benoit, P Lambert, L Klein, CB Amar, N Audebert, ...",29,2017
Alexandre Benoit,Open or closed mouth state detection: static supervised classification based on log-polar signature,"C Bouvier, A Benoit, A Caplier, PY Coulon",29,2008
Alexandre Benoit,IRIM at TRECVID 2010: Semantic Indexing and Instance Search,"D Gorisse, F Precioso, P Gosselin, L Granjon, D Pellerin, M Rombaut, ...",27,2010
Alexandre Benoit,Head nods analysis: interpretation of non verbal communication gestures,"A Benoit, A Caplier",27,2005
Alexandre Benoit,Timed-image based deep learning for action recognition in video sequences,"AM Atto, A Benoit, P Lambert",26,2020
Alexandre Benoit,Multiscale fully convolutional densenet for semantic segmentation,"S Brahimi, N Ben Aoun, C Ben Amar, A Benoit, P Lambert",21,2018
Alexandre Benoit,Semantic segmentation using reinforced fully convolutional densenet with multiscale kernel,"S Brahimi, N Ben Aoun, A Benoit, P Lambert, C Ben Amar",20,2019
Alexandre Benoit,Indexed operations for non-rectangular lattices applied to convolutional neural networks,"M Jacquemont, L Antiga, T Vuillaume, G Silvestri, A Benoit, P Lambert, ...",20,2019
Alexandre Benoit,Deep Learning for automatic sale receipt understanding,"R Raoui-Outach, C Million-Rousseau, A Benoit, P Lambert",20,2017
Alexandre Benoit,Motion estimator inspired from biological model for head motion interpretation,"A Benoit, A Caplier",19,2005
Alexandre Benoit,First full-event reconstruction from imaging atmospheric cherenkov telescope real data with deep learning,"M Jacquemont, T Vuillaume, A Benoit, G Maurin, P Lambert, G Lamanna",18,2021
Alexandre Benoit,GammaLearn: a Deep Learning framework for IACT data,"M Jacquemont, T Vuillaume, A Benoit, G Maurin, P Lambert, G Lamanna, ...",18,2019
Alexandre Benoit,Explainability of image semantic segmentation through shap values,"P Dardouillet, A Benoit, E Amri, P Bolon, D Dubucq, A Crédoz",17,2022
Alexandre Benoit,Deep learning approach for remote sensing image analysis,"AB Hamida, A Benoit, P Lambert, C Ben-Amar",17,2016
Alexandre Benoit,Retina enhanced SIFT descriptors for video indexing,"ST Strat, A Benoit, P Lambert",17,2013
Alexandre Benoit,Sedimentary structure discrimination with hyperspectral imaging in sediment cores,"K Jacq, W Rapuc, A Benoit, D Coquin, B Fanget, Y Perrette, P Sabatier, ...",16,2022
Alexandre Benoit,Offshore oil slick detection: From photo-interpreter to explainable multi-modal deep learning models using SAR images and contextual data,"E Amri, P Dardouillet, A Benoit, H Courteille, P Bolon, D Dubucq, ...",15,2022
Alexandre Benoit,Irim at trecvid 2011: Semantic indexing and instance search,"B Delezoide, F Precioso, PH Gosselin, M Redi, B Merialdo, L Granjon, ...",15,2011
Alexandre Benoit,Biological approach for head motion detection and analysis,"A Benoit, A Caplier",15,2005
Alexandre Benoit,Retina enhanced SURF descriptors for spatio-temporal concept detection,"ST Strat, A Benoit, P Lambert, A Caplier",14,2014
Alexandre Benoit,A color-action perceptual approach to the classification of animated movies,"B Ionescu, C Vertan, P Lambert, A Benoit",13,2011
Alexandre Benoit,Offshore oil slicks detection from sar images through the mask-rcnn deep learning model,"A Emna, B Alexandre, P Bolon, M Véronique, C Bruno, O Georges",12,2020
Alexandre Benoit,Analysis of the Cherenkov Telescope Array first Large-Sized Telescope real data using convolutional neural networks,"T Vuillaume, M Jacquemont, MB de Lavergne, DA Sanchez, V Poireau, ...",11,2021
Alexandre Benoit,Fusing bio-inspired vision data for simplified high level scene interpretation: Application to face motion analysis,"A Benoit, A Caplier",11,2010
Alexandre Benoit,The human visual system as a complete solution for image processing,A Benoit,11,2007
Alexandre Benoit,Assistance via IoT networking cameras and evidence theory for 3D object instance recognition: Application for the NAO humanoid robot,"D Coquin, R Boukezzoula, A Benoit, TL Nguyen",10,2020
Alexandre Benoit,Deep learning for dehazing: Comparison and analysis,"LC Valeriano, JB Thomas, A Benoit",10,2018
Alexandre Benoit,Explaining a deep spatiotemporal land cover classifier with attention and redescription mining,"N Méger, H Courteille, A Benoit, A Atto, D Ienco",9,2022
Alexandre Benoit,Multimodal focus attention and stress detection and feedback in an augmented driver simulator,"A Benoit, L Bonnaud, A Caplier, P Ngo, L Lawson, DG Trevisan, ...",9,2006
Alexandre Benoit,Multi-task architecture with attention for imaging atmospheric cherenkov telescope data analysis,"M Jacquemont, T Vuillaume, A Benoit, G Maurin, P Lambert",8,2021
Alexandre Benoit,Retina enhanced bag of words descriptors for video classification,"ST Strat, A Benoit, P Lambert",8,2014
Alexandre Benoit,Le système visuel humain au secours de la vision par ordinateur,A Benoît,8,2007
Alexandre Benoit,Intercepting static hand gestures in dynamic context,"T Burger, A Benoit, A Caplier",7,2006
Alexandre Benoit,Single imaging atmospheric cherenkov telescope full-event reconstruction with a deep multi-task learning architecture,"M Jacquemont, T Vuillaume, A Benoît, G Maurin, P Lambert",6,2020
Alexandre Benoit,IRIM at TRECVID 2018: Instance search,"B Mansencal, J Benois-Pineau, H Bredin, G Quénot",5,2018
Alexandre Benoit,Deep learning vs spectral clustering into an active clustering with pairwise constraints propagation,"N Voiron, A Benoit, P Lambert, B Ionescu",5,2016
