researcher,title,authors,value of cited by,year
Abdourrahmane Atto,On joint parameterizations of linear and nonlinear functionals in neural networks,"AM Atto, S Galichet, D Pastor, N Méger",114,2023
Abdourrahmane Atto,Robust adaptive detection of buried pipes using GPR,"Q Hoarau, G Ginolhac, AM Atto, JM Nicolas",61,2017
Abdourrahmane Atto,Adaptive multitemporal SAR image filtering based on the change detection matrix,"TT Lê, AM Atto, E Trouvé, JM Nicolas",59,2014
Abdourrahmane Atto,Multidate divergence matrices for the analysis of SAR image time series,"AM Atto, E Trouvé, Y Berthoumieu, G Mercier",54,2012
Abdourrahmane Atto,Smooth sigmoid wavelet shrinkage for non-parametric estimation,"AM Atto, D Pastor, G Mercier",52,2008
Abdourrahmane Atto,Change detection matrix for multitemporal filtering and change analysis of SAR and PolSAR image time series,"TT Lê, AM Atto, E Trouvé, A Solikhin, V Pinel",50,2015
Abdourrahmane Atto,2-D wavelet packet spectrum for texture analysis,"AM Atto, Y Berthoumieu, P Bolon",47,2013
Abdourrahmane Atto,Wavelet shrinkage: unification of basic thresholding functions and thresholds,"AM Atto, D Pastor, G Mercier",43,2011
Abdourrahmane Atto,On the statistical decorrelation of the wavelet packet coefficients of a band-limited wide-sense stationary random process,"AM Atto, D Pastor, A Isar",43,2007
Abdourrahmane Atto,Detection threshold for non-parametric estimation,"AM Atto, D Pastor, G Mercier",38,2008
Abdourrahmane Atto,New robust statistics for change detection in time series of multivariate SAR images,"A Mian, G Ginolhac, JP Ovarlez, AM Atto",37,2018
Abdourrahmane Atto,Control of discrete event systems with respect to strict duration: Supervision of an industrial manufacturing plant,"AM Atto, C Martinez, S Amari",37,2011
Abdourrahmane Atto,Wavelet packets of nonstationary random processes: Contributing factors for stationarity and decorrelation,"AM Atto, Y Berthoumieu",33,2011
Abdourrahmane Atto,Wavelet packets of fractional brownian motion: Asymptotic analysis and spectrum estimation,"AM Atto, D Pastor, G Mercier",29,2010
Abdourrahmane Atto,Timed-image based deep learning for action recognition in video sequences,"AM Atto, A Benoit, P Lambert",26,2020
Abdourrahmane Atto,Design of new wavelet packets adapted to high-resolution SAR images with an application to target detection,"A Mian, JP Ovarlez, AM Atto, G Ginolhac",23,2019
Abdourrahmane Atto,Central limit theorems for wavelet packet decompositions of stationary random processes,"AM Atto, D Pastor",23,2009
Abdourrahmane Atto,Wavelet operators and multiplicative observation models—Application to sar image time-series analysis,"AM Atto, E Trouvé, JM Nicolas, TT Lê",22,2016
