researcher,title,authors,value of cited by,year
Flavien Vernier,Monitoring temperate glacier displacement by multi-temporal TerraSAR-X images and continuous GPS measurements,"R Fallourd, O Harant, E Trouvé, JM Nicolas, M Gay, A Walpersdorf, ...",100,2011
Flavien Vernier,A decentralized convergence detection algorithm for asynchronous parallel iterative algorithms,"JM Bahi, S Contassot-Vivier, R Couturier, F Vernier",69,2005
Flavien Vernier,Synchronous distributed load balancing on dynamic networks,"J Bahi, R Couturier, F Vernier",49,2005
Flavien Vernier,Multi-method monitoring of Glacier d’Argentière dynamics,"L Benoit, A Dehecq, HT Pham, F Vernier, E Trouvé, L Moreau, O Martin, ...",34,2015
Flavien Vernier,Monitoring temperate glacier with high resolution automated digital cameras-application to the Argentiere glacier,"R Fallourd, F Vernier, JM Friedt, G Martin, E Trouvé, L Moreau, JM Nicolas",25,2010
Flavien Vernier,Observation of the Argentiere glacier flow variability from 2009 to 2011 by TerraSAR-X and GPS displacement measurements,"F Ponton, E Trouvé, M Gay, A Walpersdorf, R Fallourd, JM Nicolas, ...",23,2014
Flavien Vernier,Fast correlation technique for glacier flow monitoring by digital camera and space-borne SAR images,"F Vernier, R Fallourd, JM Friedt, Y Yan, E Trouvé, JM Nicolas, L Moreau",22,2011
Flavien Vernier,A practical approach of diffusion load balancing algorithms,"E Jeannot, F Vernier",21,2006
Flavien Vernier,Time-lapse optical flow regularization for geophysical complex phenomena monitoring,"H Hadhri, F Vernier, AM Atto, E Trouvé",18,2019
Flavien Vernier,SAR and optical images correlation illuminates post-seismic landslide motion after the Mw 7.8 Gorkha earthquake (Nepal),"P Lacroix, T Gavillon, C Bouchant, J Lavé, JL Mugnier, S Dhungel, ...",15,2022
Flavien Vernier,An effective approach for home services management,"P Moreaux, F Sartor, F Vernier",15,2012
Flavien Vernier,Broken edges and dimension exchange algorithms on hypercube topology,"J Bahi, R Couturier, F Vernier",15,2003
Flavien Vernier,Le chancre du Hêtre. Influence des conditions stationnelles sur la gravité de la maladie,"R Perrin, F Vernier",12,1979
Flavien Vernier,Synchronous distributed load balancing on totally dynamic networks,"JM Bahi, R Couturier, F Vernier",11,2007
Flavien Vernier,Algorithmique itérative pour l’équilibrage de charge dans les réseaux dynamiques,F Vernier,11,2004
Flavien Vernier,Accelerated diffusion algorithms on general dynamic networks,"J Bahi, R Couturier, F Vernier",11,2003
Flavien Vernier,Wise objects for calm technology,"I Alloui, D Esale, F Vernier",10,2015
Flavien Vernier,A first comparison of Cosmo-Skymed and TerraSAR-X data over Chamonix Mont-Blanc test-site,"JM Nicolas, E Trouvé, R Fallourd, F Vernier, F Tupin, O Harant, M Gay, ...",9,2012
Flavien Vernier,Fusion of remotely sensed displacement measurements: Current status and challenges,"Y Yan, A Dehecq, E Trouve, G Mauris, N Gourmelen, F Vernier",8,2016
Flavien Vernier,Alpine glacier 3D displacement derived from ascending and descending TerraSAR-X images on Mont-Blanc test site,"R Fallourd, F Vernier, Y Yan, E Trouvé, P Bolon, JM Nicolas, F Tupin, ...",8,2010
