researcher,title,authors,value of cited by,year
Lamia Berrah,Quantitative expression and aggregation of performance measurements based on the MACBETH multi-criteria method,"V Clivillé, L Berrah, G Mauris",209,2007
Lamia Berrah,Towards an aggregation performance measurement system model in a supply chain context,"L Berrah, V Clivillé",167,2007
Lamia Berrah,Global vision and performance indicators for an industrial improvement approach,"L Berrah, G Mauris, A Haurat, L Foulloy",107,2000
Lamia Berrah,Monitoring the improvement of an overall industrial performance based on a Choquet integral aggregation,"L Berrah, G Mauris, J Montmain",105,2008
Lamia Berrah,Fuzzy handling of measurement errors in instrumentation,"G Mauris, L Berrah, L Foulloy, A Haurat",105,2000
Lamia Berrah,"Information aggregation in industrial performance measurement: rationales, issues and definitions","L Berrah, G Mauris*, F Vernadat",103,2004
Lamia Berrah,L'Indicateur de performance,L Berrah,94,2002
Lamia Berrah,Une approche d'évaluation de la performance industrielle: modèle d'indicateurs et techniques floues pour un pilotage réactif,L Berrah,71,1997
Lamia Berrah,Is a digital transformation framework enough for manufacturing smart products? The case of Small and Medium Enterprises,"ML Zapata, L Berrah, L Tabourot",68,2020
Lamia Berrah,Towards sustainable business parks: A literature review and a systemic model,"M Le Tellier, L Berrah, B Stutz, JF Audy, S Barnabé",59,2019
Lamia Berrah,Multicriteria roof sorting for the integration of photovoltaic systems in urban environments,"M Thebault, V Clivillé, L Berrah, G Desthieux",58,2020
Lamia Berrah,Overall performance measurement in a supply chain: towards a supplier-prime manufacturer based model,"V Clivillé, L Berrah",51,2012
Lamia Berrah,A fuzzy temporal approach to the Overall Equipment Effectiveness measurement,"L Foulloy, V Clivillé, L Berrah",36,2019
Lamia Berrah,Industrial performance: an evolution incorporating ethics in the context of industry 4.0,"L Berrah, V Cliville, D Trentesaux, C Chapel",33,2021
Lamia Berrah,La quantification de la performance dans les entreprises manufacturières: de la déclaration des objectifs à la définition des systèmes d'indicateurs,L Berrah,30,2013
Lamia Berrah,Large-scale evaluation of the suitability of buildings for photovoltaic integration: Case study in Greater Geneva,"M Thebault, G Desthieux, R Castello, L Berrah",28,2022
Lamia Berrah,Industrial performance measurement: an approach based on the aggregation of unipolar or bipolar expressions,"L Berrah, G Mauris, F Vernadat",28,2006
Lamia Berrah,Towards a unified descriptive framework for industrial objective declaration and performance measurement,"L Berrah, L Foulloy",26,2013
Lamia Berrah,Deploying the ELECTRE III and MACBETH multicriteria ranking methods for SMEs tactical performance improvements,"V Clivillé, L Berrah, G Mauris",18,2013
Lamia Berrah,Petra: un guide méthodologique pour une démarche de réorganisation industriellle,"L Berrah, V Clivillé, M Harzallah, A Haurat, FB Vernadat",18,2001
Lamia Berrah,Providing elucidations of Web site evaluation based on a multi-criteria aggregation,"G Büyüközkan, G Mauris, L Berrah, O Feyzioğlu",17,2003
Lamia Berrah,A sustainability assessment model for industrial parks: A Choquet integral aggregation approach,"M Le Tellier, L Berrah, JF Audy, B Stutz, S Barnabé",16,2022
Lamia Berrah,Efficacy and efficiency indexes for a multi-criteria industrial performance synthesized by Choquet integral aggregation,"L Berrah, G Mauris, J Montmain, V Clivillé",15,2008
Lamia Berrah,"Supply Chain Performance Measurement: management models, performance indicators and interoperability","Y Ducq, L Berrah",13,2009
Lamia Berrah,A cyclic enterprise reengineering method,"L Berrah, V Cliville, M Harzallah, A Haurat, F Vernadat",13,2001
Lamia Berrah,The Contribution concept for the control of a manufacturing multi-criteria performance improvement,"L Berrah, V Clivillé, J Montmain, G Mauris",12,2019
Lamia Berrah,Optimising industrial performance improvement within a quantitative multi-criteria aggregation framework,"L Berrah, J Montmain, G Mauris, V Clivillé",12,2011
