researcher,title,authors,value of cited by,year
Emmanuel Trouvé,Intensity-driven adaptive-neighborhood technique for polarimetric and interferometric SAR parameters estimation,"G Vasile, E Trouvé, JS Lee, V Buzuloiu",403,2006
Emmanuel Trouvé,Twenty-first century glacier slowdown driven by mass loss in High Mountain Asia,"A Dehecq, N Gourmelen, AS Gardner, F Brun, D Goldberg, PW Nienow, ...",389,2019
Emmanuel Trouvé,Deriving large-scale glacier velocities from a complete satellite archive: Application to the Pamir–Karakoram–Himalaya,"A Dehecq, N Gourmelen, E Trouve",198,2015
Emmanuel Trouvé,Improving phase unwrapping techniques by the use of local frequency estimates,"E Trouve, JM Nicolas, H Maitre",170,1998
Emmanuel Trouvé,Application of log-cumulants to the detection of spatiotemporal discontinuities in multitemporal SAR images,"F Bujor, E Trouvé, L Valet, JM Nicolas, JP Rudant",148,2004
Emmanuel Trouvé,Mexico City subsidence measured by InSAR time series: Joint analysis using PS and SBAS approaches,"Y Yan, MP Doin, P Lopez-Quiroz, F Tupin, B Fruneau, V Pinel, E Trouvé",144,2012
Emmanuel Trouvé,Unsupervised spatiotemporal mining of satellite image time series using grouped frequent sequential patterns,"A Julea, N Méger, P Bolon, C Rigotti, MP Doin, C Lasserre, E Trouvé, ...",113,2010
Emmanuel Trouvé,Elevation changes inferred from TanDEM-X data over the Mont-Blanc area: Impact of the X-band interferometric bias,"A Dehecq, R Millan, E Berthier, N Gourmelen, E Trouvé, V Vionnet",107,2016
Emmanuel Trouvé,Monitoring temperate glacier displacement by multi-temporal TerraSAR-X images and continuous GPS measurements,"R Fallourd, O Harant, E Trouvé, JM Nicolas, M Gay, A Walpersdorf, ...",100,2011
Emmanuel Trouvé,Fringe detection in noisy complex interferograms,"E Trouvé, M Caramma, H Maître",98,1996
Emmanuel Trouvé,Combining airborne photographs and spaceborne SAR data to monitor temperate glaciers: Potentials and limits,"E Trouvé, G Vasile, M Gay, L Bombrun, P Grussenmeyer, T Landes, ...",90,2007
Emmanuel Trouvé,Rétention de différentes espèces microbiennes lors de l'épuration du lait par microfiltration en flux tangentiel,"E Trouvé, JL Maubois, M Piot, MN Madec, J Fauquant, A Rouault, ...",87,1991
Emmanuel Trouvé,Adaptive-neighborhood speckle removal in multitemporal synthetic aperture radar images,"M Ciuc, P Bolon, E Trouvé, V Buzuloiu, JP Rudant",66,2001
Emmanuel Trouvé,Adaptive multitemporal SAR image filtering based on the change detection matrix,"TT Lê, AM Atto, E Trouvé, JM Nicolas",59,2014
Emmanuel Trouvé,Statistical and operational performance assessment of multitemporal SAR image filtering,"E Trouvé, Y Chambenoit, N Classeau, P Bolon",55,2003
Emmanuel Trouvé,Multidate divergence matrices for the analysis of SAR image time series,"AM Atto, E Trouvé, Y Berthoumieu, G Mercier",54,2012
Emmanuel Trouvé,Change detection matrix for multitemporal filtering and change analysis of SAR and PolSAR image time series,"TT Lê, AM Atto, E Trouvé, A Solikhin, V Pinel",50,2015
Emmanuel Trouvé,High-resolution SAR interferometry: Estimation of local frequencies in the context of Alpine glaciers,"G Vasile, E Trouvé, I Petillot, P Bolon, JM Nicolas, M Gay, J Chanussot, ...",48,2008
Emmanuel Trouvé,General adaptive-neighborhood technique for improving synthetic aperture radar interferometric coherence estimation,"G Vasile, E Trouvé, M Ciuc, V Buzuloiu",46,2004
Emmanuel Trouvé,Application of the curvelet transform for clutter and noise removal in GPR data,"G Terrasse, JM Nicolas, E Trouvé, E Drouet",38,2017
Emmanuel Trouvé,Coseismic displacement field and slip distribution of the 2005 Kashmir earthquake from SAR amplitude image correlation and differential interferometry,"Y Yan, V Pinel, E Trouvé, E Pathier, J Perrin, P Bascou, F Jouanne",36,2013
Emmanuel Trouvé,Automatic localization of gas pipes from GPR imagery,"G Terrasse, JM Nicolas, E Trouvé, É Drouet",35,2016
Emmanuel Trouvé,Multi-method monitoring of Glacier d’Argentière dynamics,"L Benoit, A Dehecq, HT Pham, F Vernier, E Trouvé, L Moreau, O Martin, ...",34,2015
